#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/oscal
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-20
#curie_map: 
# oscal: https://w3id.org/lmodel/oscal/
# linkml: https://w3id.org/linkml/
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
oscal_assessment_plan:Finding	Finding	skos:exactMatch		oscal_assessment_plan:Finding		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:FindingTarget	FindingTarget	skos:exactMatch		oscal_assessment_plan:FindingTarget		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_mapping:GapSummary	GapSummary	skos:exactMatch		oscal_mapping:GapSummary		skos:exactMatch	https://w3id.org/lmodel/oscal_mapping									
oscal_catalog:Group	Group	skos:exactMatch		oscal_catalog:Group		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:Hash	Hash	skos:exactMatch		oscal_catalog:Hash		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:HasPropsAndLinks	HasPropsAndLinks	skos:exactMatch		oscal_catalog:HasPropsAndLinks		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:HasResponsibleParties	HasResponsibleParties	skos:exactMatch		oscal_catalog:HasResponsibleParties		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_catalog:HasResponsibleRoles	HasResponsibleRoles	skos:exactMatch		oscal_catalog:HasResponsibleRoles		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_assessment_plan:IdentifiedSubject	IdentifiedSubject	skos:exactMatch		oscal_assessment_plan:IdentifiedSubject		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_ssp:ImpactLevel	ImpactLevel	skos:exactMatch		oscal_ssp:ImpactLevel		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:ImplementationCommonLink	ImplementationCommonLink	skos:exactMatch		oscal_assessment_plan:ImplementationCommonLink		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ImplementationCommonProperty	ImplementationCommonProperty	skos:exactMatch		oscal_assessment_plan:ImplementationCommonProperty		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ImplementationResponsibleParty	ImplementationResponsibleParty	skos:exactMatch		oscal_assessment_plan:ImplementationResponsibleParty		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ImplementationResponsibleRole	ImplementationResponsibleRole	skos:exactMatch		oscal_assessment_plan:ImplementationResponsibleRole		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ImplementationStatus	ImplementationStatus	skos:exactMatch		oscal_assessment_plan:ImplementationStatus		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_assessment_plan:ImplementedComponent	ImplementedComponent	skos:exactMatch		oscal_assessment_plan:ImplementedComponent		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_component:ImplementedControlStatement	ImplementedControlStatement	skos:exactMatch		oscal_component:ImplementedControlStatement		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_component:ImplementedRequirement	ImplementedRequirement	skos:exactMatch		oscal_component:ImplementedRequirement		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_assessment_results:ImportAssessmentPlan	ImportAssessmentPlan	skos:exactMatch		oscal_assessment_results:ImportAssessmentPlan		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_results									
oscal_component:ImportComponentDefinition	ImportComponentDefinition	skos:exactMatch		oscal_component:ImportComponentDefinition		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
oscal_ssp:ImportProfile	ImportProfile	skos:exactMatch		oscal_ssp:ImportProfile		skos:exactMatch	https://w3id.org/lmodel/oscal_ssp									
oscal_assessment_plan:ImportSSP	ImportSSP	skos:exactMatch		oscal_assessment_plan:ImportSSP		skos:exactMatch	https://w3id.org/lmodel/oscal_assessment_plan									
oscal_catalog:IncludeAll	IncludeAll	skos:exactMatch		oscal_catalog:IncludeAll		skos:exactMatch	https://w3id.org/lmodel/oscal_catalog									
oscal_component:IncorporatesComponent	IncorporatesComponent	skos:exactMatch		oscal_component:IncorporatesComponent		skos:exactMatch	https://w3id.org/lmodel/oscal_component									
